".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"stomatal_slope.BB",49918,656,76,2085,"observational",NA,NA,NA,51120,6.2,"SE",0.23,4,"stomatal_slope.BB",NA,-88.202,40.0637,TRUE,FALSE,6.2,0.23
"SLA",26366,318,496,969,"observational",1982-07-25 00:00:00,"00:00:00",NA,35796,11.7909315603845,"SE",0.558313197298494,10,"LMA",7,-149.566667,68.633333,TRUE,FALSE,0.085,0.004
"SLA",37233,391,603,1240,"Observational",1993-07-15 00:00:00,"00:00:00",NA,35796,12.28,NA,NA,1,"SLA",7,-105.61,40.06,TRUE,FALSE,12.28,NA
"SLA",37236,391,603,1240,"Observational",1993-07-15 00:00:00,"00:00:00",NA,36606,12.3,NA,NA,1,"SLA",7,-105.61,40.06,TRUE,FALSE,12.3,NA
"SLA",37582,381,602,1220,"observational",2010-06-01 00:00:00,"00:00:00",NA,51120,10.4283,NA,1.5188,10,"SLA",6,NA,NA,TRUE,NA,10.4283,1.5188
"SLA",37603,381,602,1220,"observational",2010-08-01 00:00:00,"00:00:00",NA,51120,12.9982,NA,5.1488,2,"SLA",8,NA,NA,TRUE,NA,12.9982,5.1488
"SLA",37624,381,602,1220,"observational",2010-09-01 00:00:00,"00:00:00",NA,51120,12.9118,NA,1.868,1,"SLA",9,NA,NA,TRUE,NA,12.9118,1.868
"SLA",38101,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",310,51193,12.36,"SE",0.1,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.36,0.1
"SLA",38102,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",311,51193,12.16,"SE",0.091,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.16,0.091
"SLA",38103,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",312,51193,12.63,"SE",0.06,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.63,0.06
"SLA",38104,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",313,51193,11.52,"SE",0.129,20,"SLA",8,-76.07,42.47,TRUE,FALSE,11.52,0.129
"SLA",38105,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",314,51193,13.49,"SE",0.068,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.49,0.068
"SLA",38106,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",315,51193,12.04,"SE",0.131,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.04,0.131
"SLA",38107,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",316,51193,13.59,"SE",0.064,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.59,0.064
"SLA",38108,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",317,51193,13.23,"SE",0.18,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.23,0.18
"SLA",38109,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",318,51193,13.34,"SE",0.076,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.34,0.076
"SLA",38110,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",319,51193,12.76,"SE",0.192,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.76,0.192
"SLA",38111,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",320,51193,11.22,"SE",0.051,20,"SLA",8,-76.07,42.47,TRUE,FALSE,11.22,0.051
"SLA",38112,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",321,51193,14.83,"SE",0.443,20,"SLA",8,-76.07,42.47,TRUE,FALSE,14.83,0.443
"SLA",38113,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",322,51193,14.25,"SE",0.066,20,"SLA",8,-76.07,42.47,TRUE,FALSE,14.25,0.066
"SLA",38114,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",323,51193,12.74,"SE",0.021,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.74,0.021
"SLA",38115,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",324,51193,13.02,"SE",0.061,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.02,0.061
"SLA",38116,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",325,51193,12.62,"SE",0.131,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.62,0.131
"SLA",38117,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",326,51193,13.82,"SE",0.081,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.82,0.081
"SLA",38118,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",327,51193,13.7,"SE",0.127,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.7,0.127
"SLA",38119,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",328,51193,14.15,"SE",0.135,20,"SLA",8,-76.07,42.47,TRUE,FALSE,14.15,0.135
"SLA",38120,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",329,51193,12.4,"SE",0.037,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.4,0.037
"SLA",38121,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",330,51193,11.67,"SE",0.024,20,"SLA",8,-76.07,42.47,TRUE,FALSE,11.67,0.024
"SLA",38122,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",331,51193,13.5,"SE",0.138,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.5,0.138
"SLA",38123,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",333,51193,11.54,"SE",0.275,20,"SLA",8,-76.07,42.47,TRUE,FALSE,11.54,0.275
"SLA",38124,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",334,51193,12.84,"SE",0.061,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.84,0.061
"SLA",38126,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",335,51193,12.14,"SE",0.214,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.14,0.214
"SLA",38127,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",336,51193,13.507,"SE",0.051,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.507,0.051
"SLA",38128,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",461,51193,13.26,"SE",0.18,20,"SLA",8,-76.07,42.47,TRUE,FALSE,13.26,0.18
"SLA",38129,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",338,51193,12.97,"SE",0.081,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.97,0.081
"SLA",38130,408,154,1277,"Observational",2000-08-01 00:00:00,"00:00:00",339,51193,12.8,"SE",0.152,20,"SLA",8,-76.07,42.47,TRUE,FALSE,12.8,0.152
"SLA",38164,396,607,1283,"Observational",1999-07-01 00:00:00,"00:00:00",341,2583,17.257,"SE",0.338,16,"SLA",7,-2.65,51.463,TRUE,NA,17.257,0.338
"SLA",38165,396,607,1283,"Observational",1999-07-01 00:00:00,"00:00:00",443,2583,14.082,"SE",1.801,16,"SLA",7,-2.65,51.463,TRUE,NA,14.082,1.801
"SLA",38166,396,607,1283,"Observational",2000-07-01 00:00:00,"00:00:00",341,2583,18.478,"SE",0.634,16,"SLA",7,-2.65,51.463,TRUE,NA,18.478,0.634
"SLA",38167,396,607,1283,"Observational",2000-07-01 00:00:00,"00:00:00",443,2583,15.789,"SE",0.247,16,"SLA",7,-2.65,51.463,TRUE,NA,15.789,0.247
"SLA",38168,396,607,1283,"Observational",2000-09-01 00:00:00,"00:00:00",341,2583,19.319,"SE",0.491,16,"SLA",9,-2.65,51.463,TRUE,NA,19.319,0.491
"SLA",38169,396,607,1283,"Observational",2000-09-01 00:00:00,"00:00:00",443,2583,14.763,"SE",0.464,16,"SLA",9,-2.65,51.463,TRUE,NA,14.763,0.464
"SLA",38170,396,607,1283,"Observational",2001-07-01 00:00:00,"00:00:00",341,2583,14.449,"SE",0.634,30,"SLA",7,-2.65,51.463,TRUE,NA,14.449,0.634
"SLA",38171,396,607,1283,"Observational",2001-07-01 00:00:00,"00:00:00",443,2583,17.449,"SE",2.107,30,"SLA",7,-2.65,51.463,TRUE,NA,17.449,2.107
"SLA",38173,409,617,1284,"Observational",NA,"00:00:00",341,2583,16.5,"SE",0.06,14,"SLA",NA,20.25,63.83,TRUE,TRUE,16.5,0.06
"SLA",38174,409,617,1284,"Observational",NA,"00:00:00",343,2583,11.9,"SE",0.04,14,"SLA",NA,20.25,63.83,TRUE,TRUE,11.9,0.04
"SLA",38175,409,617,1284,"Observational",NA,"00:00:00",342,2583,10.8,"SE",0.025,14,"SLA",NA,20.25,63.83,TRUE,TRUE,10.8,0.025
"SLA",38176,409,617,1284,"Observational",NA,"00:00:00",NA,36702,10.81,"SE",0.038,14,"SLA",NA,20.25,63.83,TRUE,TRUE,10.81,0.038
"SLA",39142,429,648,1339,"Observational",NA,"00:00:00",NA,1243,21.824,NA,NA,53,"SLA",NA,17.67,59.82,TRUE,FALSE,21.824,NA
"SLA",39189,430,645,1342,"C Sun",2000-09-01 00:00:00,"00:00:00",352,2583,12.3,"SE",0.246,6,"SLA",9,22.6,58.5,TRUE,FALSE,12.3,0.246
"SLA",39190,430,645,1343,"C Shade",2000-09-01 00:00:00,"00:00:00",352,2583,12.3,"SE",0.5658,6,"SLA",9,22.6,58.5,TRUE,FALSE,12.3,0.5658
"SLA",39191,430,645,1344,"F Sun",2000-09-01 00:00:00,"00:00:00",352,2583,15.5,"SE",0.4805,6,"SLA",9,22.6,58.5,FALSE,FALSE,15.5,0.4805
"SLA",39192,430,645,1345,"F Shade",2000-09-01 00:00:00,"00:00:00",352,2583,20.3,"SE",1.5631,6,"SLA",9,22.6,58.5,NA,FALSE,20.3,1.5631
"SLA",39193,430,645,1342,"C Sun",2000-09-01 00:00:00,"00:00:00",443,2583,12.9,"SE",0.1677,6,"SLA",9,22.6,58.5,TRUE,FALSE,12.9,0.1677
"SLA",39194,430,645,1343,"C Shade",2000-09-01 00:00:00,"00:00:00",443,2583,16.7,"SE",0.9519,6,"SLA",9,22.6,58.5,TRUE,FALSE,16.7,0.9519
"SLA",39195,430,645,1344,"F Sun",2000-09-01 00:00:00,"00:00:00",443,2583,14.4,"SE",0.3456,6,"SLA",9,22.6,58.5,FALSE,FALSE,14.4,0.3456
"SLA",39196,430,645,1345,"F Shade",2000-09-01 00:00:00,"00:00:00",443,2583,21.4,"SE",1.177,6,"SLA",9,22.6,58.5,NA,FALSE,21.4,1.177
"SLA",39197,430,645,1342,"C Sun",2000-09-01 00:00:00,"00:00:00",353,2869,11.4,"SE",0.4104,6,"SLA",9,22.6,58.5,TRUE,FALSE,11.4,0.4104
"SLA",39198,430,645,1343,"C Shade",2000-09-01 00:00:00,"00:00:00",353,2869,13.8,"SE",0.4692,6,"SLA",9,22.6,58.5,TRUE,FALSE,13.8,0.4692
"SLA",39199,430,645,1344,"F Sun",2000-09-01 00:00:00,"00:00:00",353,2869,12.1,"SE",0.4114,6,"SLA",9,22.6,58.5,FALSE,FALSE,12.1,0.4114
"SLA",39200,430,645,1345,"F Shade",2000-09-01 00:00:00,"00:00:00",353,2869,16.3,"SE",0.8476,6,"SLA",9,22.6,58.5,NA,FALSE,16.3,0.8476
"SLA",39225,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,25.31,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,25.31,NA
"SLA",39226,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,26.4,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,26.4,NA
"SLA",39227,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,26.15,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,26.15,NA
"SLA",39228,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,22.94,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,22.94,NA
"SLA",39229,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,22.44,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,22.44,NA
"SLA",39230,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,22.94,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,22.94,NA
"SLA",39231,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,23.43,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,23.43,NA
"SLA",39232,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,22.3,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,22.3,NA
"SLA",39233,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,21.65,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,21.65,NA
"SLA",39234,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,21.65,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,21.65,NA
"SLA",39235,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,20.67,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,20.67,NA
"SLA",39236,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,20.12,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,20.12,NA
"SLA",39237,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,20.47,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,20.47,NA
"SLA",39238,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,19.78,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,19.78,NA
"SLA",39239,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,19.7,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,19.7,NA
"SLA",39240,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,19.58,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,19.58,NA
"SLA",39241,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,18.79,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,18.79,NA
"SLA",39242,429,648,1339,"Observational",2006-01-01 00:00:00,"00:00:00",NA,1243,17.61,NA,NA,53,"SLA",1,17.67,59.82,TRUE,FALSE,17.61,NA
